day_id,city_id,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,sunrise,sunset,condition_text
D0001,C001,27,6.1,210,1006,0,54,75,28,10,6,11.9,2,6:04 AM,7:19 PM,
D0002,C001,22,6.1,170,1006,0,73,75,24.5,10,1,23.4,1,6:05 AM,7:18 PM,
D0003,C001,20,3.6,10,1011,4.5,100,75,20,10,1,12.6,1,6:05 AM,7:18 PM,Light Rain with Thunder
D0004,C001,17,6.1,150,1018,0,88,0,17,10,1,11.2,1,6:06 AM,7:16 PM,Clear and Sunny
D0005,C001,18,3.6,92,1019,0,94,0,18,10,1,9,1,6:07 AM,7:15 PM,
D0006,C001,20,3.6,96,1019,0,88,0,20,10,1,11.2,1,6:07 AM,7:13 PM,
D0007,C001,21,4,310,1015,0,100,50,21,10,1,15.1,2,6:08 AM,7:11 PM,Partly Cloudy
D0008,C001,21,20.2,330,1011,0,53,75,21,10,1,17.3,1,6:09 AM,7:10 PM,
D0009,C001,23,3.6,63,1013,0,47,75,24.8,10,1,20.5,1,6:10 AM,7:08 PM,
D0010,C001,24,15.1,330,1014,0,54,75,25.3,10,1,9.7,1,6:11 AM,7:06 PM,
D0011,C001,23,6.8,320,1014,0,57,0,24.8,10,1,18.7,1,6:12 AM,7:04 PM,
D0012,C001,19,3.6,79,1014,0,73,0,19,10,1,18,1,6:13 AM,7:03 PM,
D0013,C001,18,3.6,74,1015,0,83,0,18,10,1,14.4,1,6:14 AM,7:01 PM,
D0014,C001,17,3.6,75,1015,0,88,0,17,10,1,14.4,1,6:15 AM,6:59 PM,
D0015,C001,17,3.6,98,1014,0,94,0,17,10,1,9.7,1,6:16 AM,6:58 PM,
D0016,C001,17,6.1,140,1017,0,88,0,17,10,1,7.6,2,6:17 AM,6:56 PM,
D0017,C001,29,15.1,340,1016,0,45,50,27.9,10,7,8.3,2,6:19 AM,6:52 PM,
D0018,C001,19,3.6,86,1017,0,88,0,19,10,1,6.8,2,6:19 AM,6:52 PM,
D0019,C001,19,3.6,64,1017,0,88,0,19,10,1,8.3,3,6:20 AM,6:51 PM,Clear and Sunny
D0020,C001,19,3.6,10,1018,0,94,100,19,10,1,5.4,2,6:21 AM,6:49 PM,
D0021,C001,18,3.6,75,1017,0,94,0,18,10,1,8.3,1,6:22 AM,6:47 PM,
D0022,C001,20,3.6,104,1016,0,83,0,20,10,1,12.1,2,6:23 AM,6:45 PM,
D0023,C001,20,6.8,70,1016,0,94,0,20,10,1,10.6,2,6:24 AM,6:44 PM,
D0024,C001,21,6.8,200,1016,0,83,75,21,10,1,10.6,2,6:25 AM,6:42 PM,
D0025,C001,20,6.1,140,1014,0.32,94,50,20,8,1,18.9,2,6:26 AM,6:40 PM,
