condition_text,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,sunrise,sunset,city_C001,city_C002,city_C004,city_C005,city_C006,city_C007,city_C008,city_C009,city_C010,city_C011,city_C012,city_C013,city_C014,city_C015,city_C016,city_C017,city_C018,city_C019,city_C020,city_C021,city_C022,city_C023,city_C024,city_C025,city_C026,city_C027,city_C028,city_C029,city_C030,city_C031,city_C032,city_C033,city_C034,city_C035,city_C036,city_C037,city_C038,city_C039,city_C040,city_C041,city_C042,city_C043,city_C044,city_C045,city_C046,city_C047,city_C048,city_C049,city_C050,city_C051,city_C052,city_C053,city_C054,city_C055,city_C056,city_C057,city_C058,city_C059,city_C060,city_C061,city_C062,city_C063,city_C064,city_C065,city_C066,city_C067,city_C068,city_C069,city_C070,city_C071,city_C072,city_C073,city_C074,city_C075,city_C076,city_C077,city_C078,city_C079,city_C080,city_C081,city_C082,city_C083,city_C084,city_C085,city_C086,city_C087,city_C088,city_C089,city_C090,city_C091,city_C092,city_C093,city_C094,city_C095,city_C096,city_C097,city_C098,city_C099,city_C101,city_C102,city_C103,city_C104,city_C105,city_C106,city_C107,city_C108,city_C109,city_C110,city_C111,city_C112
6,-0.3256872786491066,-0.9763759204998188,-1.4911148620878538,-0.3458133188858955,3.8081211096270215,1.1606122086465238,0.8023139560042438,-0.4422446178300636,0.1875728084986207,-0.5600105758950595,-0.4661084558657363,-0.5620292508044824,-0.4713092532086586,0.6028912394037342,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.7911862038716714,-0.6349109618833844,-0.0847865404753833,0.802218421930329,-0.2466136521794618,0.5061881380853879,-1.2690571449265833,-0.7912700549026701,0.1875728084986207,-0.5600105758950595,-0.5943011846126348,-0.5620292508044824,-0.4391180180329923,0.5592944846219727,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.170520970241585,-0.9217415271211892,1.5224458270817256,0.3102048187233756,-0.2466136521794618,1.1606122086465238,0.1118569223606347,-0.3259028054725281,0.1875728084986207,-0.5600105758950595,-0.2371928688177032,0.2818955489928438,-0.3747355476816599,0.450302597667569,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.4808535870566282,-0.9763759204998188,-0.9486739380373296,0.6382138875280112,-0.2466136521794618,0.5061881380853879,-1.2690571449265833,-0.5585864301875991,0.1875728084986207,-0.5600105758950595,-0.8598432655883531,1.12582034879017,0.0115592744263348,0.0143350498499542,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.4808535870566282,-0.9763759204998188,-0.7578150943899228,-0.5098178532882134,-0.2466136521794618,-0.3118419501160319,-0.5786001112829743,-0.5585864301875991,0.1875728084986207,-0.5600105758950595,-0.8598432655883531,-0.5620292508044824,-0.0850144311006638,0.6464879941854957,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.4501442633885013,-0.6349109618833844,-0.8884027242539378,0.3102048187233756,-0.2466136521794618,0.2335114420182479,-0.5786001112829743,0.3721480686726847,0.1875728084986207,-0.5600105758950595,-0.035747152215434,-0.5620292508044824,0.043750509602001,0.450302597667569,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0.4501442633885013,-0.9763759204998188,-0.1751933611504707,0.4742093531256934,-0.2466136521794618,0.2335114420182479,0.1118569223606347,0.2907088000224099,-0.4385413048870196,-0.5600105758950595,-0.3012892331911525,-0.5620292508044824,0.2368979206559984,0.2105204463678809,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1.0708094970185875,0.5943628891357795,-0.6874986783092992,0.3102048187233756,0.023701998607637,0.0153700851645359,0.8023139560042438,1.186540755175433,0.1875728084986207,-0.5600105758950595,1.8047341676507516,-0.5620292508044824,-0.8576040753166533,-0.5960195170947065,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,1.0708094970185875,0.5943628891357795,-0.58704665533698,0.3102048187233756,-0.1565084352504288,0.0153700851645359,0.1118569223606347,1.1981749364111869,0.1875728084986207,-0.5600105758950595,1.44762585185582,-0.5620292508044824,-0.825412840140987,-0.6178178944855872,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,0.7604768802035444,-0.6349109618833844,-0.58704665533698,0.3102048187233756,-0.1565084352504288,0.0153700851645359,0.4432762985095671,0.7095393245095374,0.1875728084986207,-0.5600105758950595,1.282806629181236,-0.5620292508044824,-0.825412840140987,-0.7050114040491101,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
