iter	MultiClass
0	2.06778491
1	1.965233941
2	1.869885541
3	1.804202952
4	1.72991872
5	1.676720251
6	1.626067021
7	1.566573378
8	1.520949375
9	1.477780231
10	1.439542037
11	1.405393753
12	1.372924576
13	1.33761411
14	1.30097857
15	1.269303389
16	1.238981504
17	1.209113758
18	1.181569883
19	1.154974545
20	1.130885046
21	1.109180131
22	1.091269561
23	1.070573389
24	1.049748021
25	1.030175985
26	1.012577434
27	0.9968982394
28	0.9783182315
29	0.9636676902
30	0.9480294788
31	0.9321167847
32	0.916353887
33	0.9045971823
34	0.8885208398
35	0.8751412902
36	0.8621658629
37	0.8485756633
38	0.8360129473
39	0.8227622879
40	0.8102310423
41	0.7973709079
42	0.7848958132
43	0.7746186196
44	0.7653210367
45	0.7559480891
46	0.7470204995
47	0.7411681174
48	0.7371181705
49	0.727238933
50	0.7178106001
51	0.7093577841
52	0.7012611746
53	0.6942356397
54	0.6860375851
55	0.6779126985
56	0.6694686094
57	0.6598557787
58	0.6500847657
59	0.6432120776
60	0.6374582955
61	0.6318632137
62	0.6232868883
63	0.6147647422
64	0.6080469384
65	0.5997286966
66	0.5933073297
67	0.5867948045
68	0.5790329921
69	0.5734598706
70	0.5676903996
71	0.5605415946
72	0.555512864
73	0.5498126284
74	0.5446047971
75	0.5398927352
76	0.5329252257
77	0.5275017288
78	0.5233347829
79	0.5172878042
80	0.5111652649
81	0.5080013152
82	0.5027933926
83	0.4984642454
84	0.4965808571
85	0.4933457751
86	0.4882051348
87	0.4834074511
88	0.4796714189
89	0.47544959
90	0.4709413969
91	0.4665915042
92	0.4641346446
93	0.4588940247
94	0.4554206234
95	0.4521425601
96	0.4473084023
97	0.4429177137
98	0.4387411374
99	0.43462172
100	0.4304678373
101	0.4252505592
102	0.4209338442
103	0.416810563
104	0.4141195506
105	0.4100614249
106	0.4075683385
107	0.4040781012
108	0.4008504831
109	0.3983206936
110	0.3942787222
111	0.3920724641
112	0.388233207
113	0.3861325529
114	0.3826524441
115	0.3783399855
116	0.3748968729
117	0.3714031798
118	0.3687232768
119	0.3665964024
120	0.3644462081
121	0.3622581495
122	0.3600259165
123	0.3574132315
124	0.3550035918
125	0.3524680319
126	0.3496354118
127	0.346561865
128	0.3445798654
129	0.341955719
130	0.3394144487
131	0.3364387711
132	0.333564006
133	0.3311627796
134	0.3297071983
135	0.3274702169
136	0.3254090084
137	0.3221848354
138	0.3195439074
139	0.3178588958
140	0.3161441528
141	0.3139773769
142	0.3109962896
143	0.3097943495
144	0.3080346403
145	0.3060463681
146	0.3045675355
147	0.3024674378
148	0.3000261211
149	0.2980250168
150	0.2962513416
151	0.2948159234
152	0.2922392261
153	0.2907492275
154	0.2880465888
155	0.2869450389
156	0.2850023672
157	0.2833478219
158	0.2827005852
159	0.281232408
160	0.2796472929
161	0.278452415
162	0.2765175374
163	0.2746493913
164	0.2736166163
165	0.2724498741
166	0.2699405016
167	0.2680896519
168	0.2660965217
169	0.264635741
170	0.2630977409
171	0.2613652223
172	0.2603835081
173	0.2596478762
174	0.2581852085
175	0.2567354137
176	0.2559452334
177	0.2547601461
178	0.2534388457
179	0.2517978595
180	0.250808145
181	0.249120374
182	0.2483284482
183	0.2468881478
184	0.2449859762
185	0.243007566
186	0.2411125062
187	0.2394589958
188	0.2376739959
189	0.2366979579
190	0.2355236278
191	0.2342039944
192	0.2326100381
193	0.2311048549
194	0.2300948208
195	0.2289129478
196	0.2277604553
197	0.2260938035
198	0.2250648505
199	0.2234316322
