iter	Passed	Remaining
0	26	5315
1	52	5182
2	77	5071
3	102	5032
4	128	5022
5	152	4936
6	179	4936
7	208	5015
8	237	5041
9	265	5043
10	295	5069
11	322	5054
12	353	5083
13	379	5039
14	406	5015
15	432	4975
16	457	4928
17	483	4888
18	509	4856
19	536	4827
20	563	4805
21	588	4761
22	613	4719
23	639	4689
24	665	4655
25	694	4646
26	719	4612
27	745	4578
28	770	4545
29	796	4513
30	821	4476
31	848	4454
32	873	4418
33	897	4383
34	922	4349
35	949	4324
36	979	4314
37	1007	4297
38	1034	4268
39	1061	4244
40	1086	4212
41	1112	4186
42	1137	4153
43	1165	4130
44	1190	4102
45	1216	4073
46	1242	4044
47	1248	3952
48	1274	3926
49	1298	3895
50	1322	3863
51	1347	3834
52	1372	3807
53	1399	3782
54	1424	3754
55	1449	3727
56	1475	3701
57	1500	3672
58	1525	3644
59	1551	3619
60	1575	3590
61	1601	3564
62	1625	3535
63	1651	3510
64	1677	3483
65	1701	3454
66	1729	3433
67	1756	3408
68	1780	3380
69	1806	3355
70	1832	3329
71	1859	3306
72	1884	3278
73	1908	3249
74	1934	3223
75	1959	3197
76	1985	3171
77	2009	3142
78	2034	3116
79	2060	3090
80	2085	3064
81	2110	3036
82	2135	3009
83	2161	2985
84	2188	2960
85	2213	2934
86	2240	2909
87	2265	2883
88	2290	2856
89	2315	2830
90	2340	2803
91	2366	2778
92	2391	2752
93	2416	2724
94	2441	2698
95	2466	2672
96	2492	2647
97	2517	2619
98	2541	2593
99	2566	2566
100	2591	2540
101	2618	2515
102	2642	2488
103	2666	2461
104	2692	2435
105	2718	2410
106	2742	2384
107	2767	2357
108	2792	2331
109	2818	2306
110	2847	2283
111	2874	2258
112	2905	2237
113	2935	2214
114	2963	2190
115	2990	2165
116	3017	2140
117	3043	2114
118	3070	2090
119	3097	2064
120	3125	2040
121	3152	2015
122	3177	1989
123	3201	1962
124	3227	1936
125	3255	1911
126	3281	1886
127	3305	1859
128	3331	1833
129	3356	1807
130	3382	1781
131	3407	1755
132	3431	1728
133	3458	1703
134	3484	1677
135	3509	1651
136	3533	1624
137	3558	1598
138	3582	1571
139	3607	1546
140	3632	1519
141	3661	1495
142	3688	1470
143	3713	1444
144	3740	1418
145	3764	1392
146	3789	1366
147	3814	1340
148	3838	1313
149	3863	1287
150	3889	1262
151	3914	1236
152	3939	1210
153	3964	1184
154	3990	1158
155	4015	1132
156	4040	1106
157	4065	1080
158	4089	1054
159	4114	1028
160	4141	1003
161	4167	977
162	4191	951
163	4217	925
164	4244	900
165	4271	874
166	4295	848
167	4319	822
168	4345	797
169	4370	771
170	4398	746
171	4428	720
172	4455	695
173	4483	669
174	4510	644
175	4541	619
176	4568	593
177	4594	567
178	4621	542
179	4648	516
180	4675	490
181	4701	464
182	4726	439
183	4750	413
184	4775	387
185	4801	361
186	4828	335
187	4852	309
188	4877	283
189	4902	258
190	4928	232
191	4952	206
192	4977	180
193	5003	154
194	5029	128
195	5053	103
196	5078	77
197	5104	51
198	5129	25
199	5154	0
